Year,Habitat,Voucher,Order,Genus,Species,Common.name
2018,Forest,No,Mecoptera,Panorpa,Panorpa communis,Scorpionfly
2021,Forest,No,Mecoptera,Panorpa,Panorpa debilis,Scorpionfly
2020,Urban,No,Mecoptera,Panorpa,Panorpa Dicerapanorpa,Scorpionfly
2018,Forest,No,Mecoptera,Panorpidae,Panorpidae,Scorpionfly
2022,Forest,Yes,Neuroptera,Chrysoperla,Chrysoperla rufilabris,Green lacewing
2022,Grassland,Yes,Odonata,Enallagma,Enallagma Cyathigerum,Blue Damselfly
2022,Grassland,Yes,Odonata,Enallagma,Enallagma Civile,Bluet Damselfly
2022,Grassland,Yes,Odonata,Enallagma,Enallagma sp.,bluets
2022,Grassland,Yes,Odonata,Enallagma,Enallagma basidens,Damselfly
2022,Grassland,Yes,Odonata,Enallagma,Enallagma,Damselfly
2021,Grassland,Yes,Odonata,Enallagma,Enallagma basidens,Double-striped bluet
2020,Grassland,Yes,Odonata,Enallagma,Enallagma civile,familiar bluet
2018,Urban,Yes,Odonata,Enallagma,Enallagma civile,familiar bluet
2018,Urban,Yes,Odonata,Ischnura,Ischnura,damselfly
2018,Urban,Yes,Odonata,Ischnura,Ischnura verticalis,Eastern Forktail Damselfly
2020,Grassland,Yes,Odonata,Ischnura,Ischnura,Forktails
2022,Urban,Yes,Odonata,Ischnura,Ischnura posita,Fragile Forktail
2019,Forest,Yes,Odonata,Neopanorpa,Neopanorpa dubis,Damselfly
2019,Forest,Yes,Odonata,Neopanorpa,Neopanorpa dubis,Damselfly
2022,Urban,Yes,Odonata,Odonata,Odonata zygoptera,Damselfly
2018,Forest,Yes,Orthoptera,Amblycorypha,Amblycorypha oblongifolia,Bush-Cricket
2018,Grassland,Yes,Orthoptera,Amblycorypha,Amblycorypha oblongifolia,Bush-cricket
2018,Forest,Yes,Orthoptera,Anaxipha,Anaxipha tinnulacita,Brown Cricket
2018,Forest,Yes,Orthoptera,Anaxipha,Anaxipha tinnulacita,chirping trig
2019,Forest,Yes,Orthoptera,Anaxipha,Anaxipha tinnulacita,Cricket
2019,Forest,Yes,Orthoptera,Anaxipha,Anaxipha tinnulacita,Fast tinkling trig
2018,Forest,Yes,Orthoptera,Anaxipha,Anaxipha tinnulacita,fast-tinkling trig
2021,Grassland,Yes,Orthoptera,Encoptolophus,Encoptolophus costalis,Western cloudy grasshopper
2022,Forest,Yes,Orthoptera,Hapithus,Hapithus agitator,Flightless bush cricket
2021,Forest,Yes,Orthoptera,Hapithus,Hapithus agitator,Restless bush cricket
2022,Forest,Yes,Orthoptera,Hapithus,Hapithus agitator,Restless bush cricket
2022,Forest,Yes,Orthoptera,Hapithus,Hapithus Agitator,Restless Bush Cricket
2019,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,grasshopper
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus,Grasshopper
2022,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,Grasshopper
2018,Grassland,NA,Orthoptera,Melanoplus,Melanoplus sanguinipes,Migratory Grasshopper
2019,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,migratory grasshopper
2019,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,Migratory Grasshopper
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,migratory grasshopper
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,migratory grasshopper
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,migratory grasshopper
2022,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,Migratory grasshopper
2020,Urban,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,Migratory Grasshopper
2018,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus borealis,Northern Spur-throat Grasshopper
2022,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sp.,Short-horned grasshoppers
2018,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sanguinipes,Spur-Throated Grasshopper
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sp.,Spur-throated grasshoppers
2021,Grassland,Yes,Orthoptera,Melanoplus,Melanoplus sp.,Spur-throated grasshoppers
2018,Grassland,No,Orthoptera,Neoconocephalus,Neoconocephalus palustris,Conehead (bush cricket)
2019,Grassland,No,Orthoptera,Neoconocephalus,Neoconocephalus palustris,Marsh Conehead
2022,Forest,Yes,Orthoptera,Neoconocephalus,Neoconocephalus robustus,Robust conehead
2022,Forest,Yes,Orthoptera,Orocharis,Orocharis Saltator,Cricket
2019,Forest,No,Orthoptera,Orocharis,Orocharis saltator,Jumping Bush Cricket
2020,Forest,No,Orthoptera,Orocharis,Orocharis saltator,Jumping Bush Cricket
2021,Forest,No,Orthoptera,Orocharis,Orocharis saltator,Jumping Bush Cricket
2022,Forest,No,Orthoptera,Orocharis,Orocharis Saltator,Jumping Bush Cricket
2021,Urban,Yes,Orthoptera,Phyllopalpus,Phyllopalpus pulchellus,Handsome Trig
2021,Urban,Yes,Orthoptera,Phyllopalpus,Phyllopalpus pulchellus,Handsome Trig
2022,Forest,Yes,Orthoptera,Scudderia,Scudderia furcata,fork-tailed bush katydid
2021,Grassland,Yes,Orthoptera,Syrbula,Syrbula montezuma,Short-horned Grasshopper
2021,Grassland,Yes,Orthoptera,Tettigoniidae,Tettigoniidae,Katydid
2022,Urban,Yes,Psocoptera,Cerastipsocus,Cerastipsocus venosus,Barklice
2018,Forest,Yes,Trichoptera,Hydropsyche,Hydropsyche phalerata,Net-spinning caddisfly
2018,Urban,Yes,Trichoptera,Hydroptila,Hydroptila waubesiana,Caddisfly
2022,Urban,Yes,Trichoptera,Hydroptila,Hydroptila spatulata,microcaddisflies
